code,name_ar,name_fr,name_en,wilaya_code,wilaya_name_ar,daira_name_ar,phone,fax,email,website,address_ar,source
0101,أدرار,ADRAR,Adrar,01,أدرار,أدرار,049 36 74 18,(049) 36 - 78 - 27,www.communeadrar@hotmail.com,communeadrar.dz,ادرار,merged
0102,تامست,TAMEST,Tamest,01,أدرار,فنوغيل,049.94.61.61,(049) 94 - 61 - 52,tamesttm@gmail.com,,تامست,merged
0104,رقان,REGGANE,Reggane,01,أدرار,رقان,049.97.00.70,(049) 32 - 01 - 29,communereggane@gmail.com,,رقان,merged
0105,انزجمير,IN ZGHMIR,In Zghmir,01,أدرار,,,(049) 97 - 22 - 40,,,,scraped
0106,تيط,TIT,Tit,01,أدرار,,,(049) 97 - 92 - 94,,,,scraped
0108,تسابيت,TSABIT,Tsabit,01,أدرار,تسابيت,049.94.01.93,(049) 34 - 80 - 28,apctsabit0108@yahoo.fr,,تسابيت,merged
0111,زاوية كنتة,ZAOUIET KOUNTA,Zaouiet Kounta,01,أدرار,زاوية كنتة,049.32.41.06,(049) 97 - 46 - 44,apczaouietkounta0111@gmail.com,,زاوية كنته,merged
0112,أولف,AOULEF,Aoulef,01,أدرار,أولف,049.97.77.55,(049) 97 - 73 - 00,apcaoulef@gmail.com,,اولف,merged
0113,تيمقطن,TIMEKTEN,Timekten,01,أدرار,أولف,049.98.52.02,(049) 98 - 55 - 22,timokten2010@gmail.com,,تيمقطن,merged
0114,تمنطيط,TAMANTIT,Tamantit,01,أدرار,فنوغيل,049.96.11.78,(049) 96 - 15 - 36,apctamentit14@gmail.com,,تمنطيط,merged
0115,فنوغيل,FENOUGHIL,Fenoughil,01,أدرار,فنوغيل,049 94 12 44,(049) 94 - 18 - 47,apcfghil0115@gmail.com,,فنوغيل,merged
0118,سالي,SALI,Sali,01,أدرار,رقان,049.97.32.45,(049) 97 - 31 - 28,apc.Sali0118@gmail.com,www.apcsali-adrar.dz,سالي,merged
0119,اقبلي,AKABLI,Akabli,01,أدرار,أولف,049.97.83.83,(049) 97 - 82 - 24,apc.akabli0119@gmail.com,,اقبلي,merged
0121,أولاد أحمد تيمي,OULED AHMED TIMMI,Ouled Ahmed Timmi,01,أدرار,أدرار,049 35 09 08,(049) 94 - 61 - 52,apc.timmi0121@gmail.com,,اولاد براهيم,merged
0122,بودة,BOUDA,Bouda,01,أدرار,أدرار,049 35 31 27,(049) 94 - 31 - 87,bouda0122@gmail.com,,بودة,merged
0126,سبع,SEBAA,Sebaa,01,أدرار,,,(049) 94 - 71 - 49,,,,scraped
0201,الشلف,CHLEF,Chlef,02,الشلف,الشلف,027 77 10 60,(027) 77 - 32 - 01,,,مقر البلدية مركز الشلف,merged
