name_ar,name_fr,name_en,wilaya_code,phone,fax,email,communes,source
أدرار,,أدرار,01,049 96 91 32,049 96 85 85,dairaadrar@hotmail.com,"0101,0121,0122",legacy
أولف,,أولف,01,049 32 73 50,049 32 75 49,dairaaoulef0112@gmail.com,"0112,0113,0119",legacy
تسابيت,,تسابيت,01,049 34 80 80,049 34 80 80,dairatsabit@gmail.com,0108,legacy
رقان,,رقان,01,049 97 00 50,049 97 02 80,daira.reggane@gmail.com,"0104,0118",legacy
زاوية كنتة,,زاوية كنتة,01,049 32 41 06,049 97 42 08,z.kounta0111@gmail.com,0111,legacy
فنوغيل,,فنوغيل,01,049 94 12 80,049 94 16 19,daira_fenoughil@yahoo.com,"0102,0114,0115",legacy
أبو الحسن,,أبو الحسن,02,027 75 52 17 / 09,027 75 53 93,,"0205,0214,0222",legacy
أولاد بن عبد القادر,,أولاد بن عبد القادر,02,027 40 47 03 / 06,027 40 47 01,d_ouledbenaek@wilaya-chlef.dz,"0227,0230",legacy
أولاد فارس,,أولاد فارس,02,027 72 74 16 / 15,027 72 74 18,,"0210,0224,0228",legacy
الزبوجة,,الزبوجة,02,027 75 20 83 / 90,027 75 21 60,,"0203,0220,0231",legacy
الشلف,,الشلف,02,027 77 55 49 /027 79 08 56,02777 09 62,d_chlef@wilaya-chlef.dz,"0201,0219,0233",legacy
الكريمية,,الكريمية,02,027 70 94 24,027 70 96 45,,"0204,0209,0235",legacy
المرسى,,المرسى,02,027 75 64 51,027 75 61 36,dairaelmarsa2015@gmail.com,"0223,0226",legacy
بني حواء,,بني حواء,02,027 75 31 82 / 90,027 75 35 63,,"0207,0216,0234",legacy
بوقادير,,بوقادير,02,027 74 97 24 / 18,027 74 10 90/07 57,d_boukadir@wilaya-chlef.dz,"0212,0221",legacy
تاوقريت,,تاوقريت,02,027 42 05 82/06 53/03 45,027 42 01 92/05 82,,"0206,0217",legacy
تنس,,تنس,02,027 76 70 43 /77 01,027 76 92 09/70 72,,"0202,0211,0225",legacy
عين مران,,عين مران,02,027 42 93 43,027 42 94 12,,"0215,0232",legacy
