code,name_ar,name_fr,name_en,phone,fax,email,website,address_ar,created_year,parent_wilaya,data_completeness,source,last_updated
01,أدرار,Adrar,Adrar,049 36 46 40/049 36 46 32,049 36 46 45,wilaya.adrar1@gmail.com,www.wilaya-adrar.dz,ادرار,,,full,merged,2026-04-26
02,الشلف,Chlef,Chlef,027 77 24 00,027 77 55 45,,www.wilaya-chlef.dz,مقر الولاية,,,full,merged,2026-04-26
03,الأغواط,Laghouat,Laghouat,029 93 11 05/029 93 10 02,029 93 21 22/029 93 57 57,wilaya.laghouat@gmail.com,http://www.wilaya-laghouat.dz,شارع الاستقلال,,,full,merged,2026-04-26
04,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,032 55 11 44,032 55 11 12,,,الحي الإداري,,,full,merged,2026-04-26
05,باتنة,Batna,Batna,033 80 77 77,033 80 73 88,contact@wilaya-batna.gov.dz,www.wilaya-batna.gov.dz,باتنة,,,full,merged,2026-04-26
06,بجاية,Bejaia,Bejaia,034 22 26 36,034 22 28 12,,www.wilayabejaia.gov.dz,نهج الجيش الشعبي الوطني بجاية,,,full,merged,2026-04-26
07,بسكرة,Biskra,Biskra,033 53 81 00 au 033 53 81 12,033 74 00 20,,,,,,full,merged,2026-04-26
08,بشار,Bechar,Bechar,049 24 46 09,049 24 46 58,service_info@wilaya-bechar.gov.dz,www.wilaya-bechar.gov.dz,وسط مدينة بشار,,,full,merged,2026-04-26
09,البليدة,Blida,Blida,025 20 30 22/025 20 30 30/025 20 30 46/025 20 30 56/025 20 32 01/025 20 32 02/025 20 32 03/025 20 32 04/025 20 32 05/025 20 32 06,25203068,lawilayadeblida@gmail.com,www.wilayadeblida.dz,05  نهج بن بوالعيد,,,full,merged,2026-04-26
10,البويرة,Bouira,Bouira,025 20 30 22/025 20 30 30/025 20 30 46/025 20 30 56/025 20 32 01/025 20 32 02/025 20 32 03/025 20 32 04/025 20 32 05/025 20 32 06,25203068,lawilayadeblida@gmail.com,www.wilayadeblida.dz,05  نهج بن بوالعيد,,,full,merged,2026-04-26
11,تمنراست,Tamanrasset,Tamanrasset,029 31 32 00/029 31 33 00,029 33 10 04/029 33 10 02,,,شارع اول نوفمبر- تمنراست,,,full,merged,2026-04-26
12,تبسة,Tebessa,Tebessa,037 50 11 01 à 10,037 48 49 14,dtnw@wilaya-tebessa.dz,www.wilaya-tebessa.dz,شارع بوهلال مقر ولاية تبسة,,,full,merged,2026-04-26
13,تلمسان,Tlemcen,Tlemcen,043 27 70 40/043 27 64 80/043 27 54 30,043 20 27 64,Wilayatlemcen@hotmail.com /wil-tlemcen@interieur.gov.dz,,مقر ولاية تلمسان -13000-,,,full,merged,2026-04-26
14,تيارت,Tiaret,Tiaret,046 20 30 70 / 046 20 31 34,046 20 30 85 / 046 20 30 94,wtiaret@yahoo.fr/ Youcefbelamri16@gmail.com/ C.communication14@gmail.com,www.wilaya-tiaret.dz,شارع الإخوة قيطون - تيارت,,,full,merged,2026-04-26
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,026 21 29 60/026 10 60 61/ 026 10 60 62 026 10 61 60/026 10 61 61/026 10 61 62 026 10 62 60/026 10 62 61/026 10 62 62 026 10 60 29/026 10 60 30/026 10 60 60,026 10 60 32,wilaya15@outlook.fr,http://www.wilaya-tiziouzou.dz,الحي الاداري  15000 تيزي وزو  - الجزائر,,,full,merged,2026-04-26
16,الجزائر,Alger,Algiers,21730073,021733295/021737264,siteweb.alger@wilaya-alger.dz,,38 شارع عسلة حسين الجزائر,,,full,merged,2026-04-26
17,الجلفة,Djelfa,Djelfa,027 77 24 00,027 77 55 45,,www.wilaya-chlef.dz,مقر الولاية,,,full,merged,2026-04-26
18,جيجل,Jijel,Jijel,034 47 16 00 / 034 49 76 00 / 034 47 13 45 / 034 47 1346 / 034 47 13 47 / 034 47 85 44,034 49 59 55,wilayadejijel18@gmail.com,www.jijel-dz.org,13 شارع الإخوة خشة أحسن,,,full,merged,2026-04-26
19,سطيف,Setif,Setif,036 83 41 41 / 036 83 44 77 / 036 83 11 77 / 036 83 33 55 /036 83 29 29 / 036 83 17 17 /036 93 88 33 / 036 93 53 53 /036 93 87 87 / 036 93 71 71 /036 93 97 97 / 036 93 94 94,036 61 72 40,wilayasetif@wilayasetif.dz,www.wilayasetif.dz,شارع جيش التحريرالوطني,,,full,merged,2026-04-26
20,سعيدة,Saida,Saida,048 51 25 50 /048 51 25 51 /048  51 25 52 / 048 51 25 53 / 048 51 25 55,048 51 24 00,,,ولاية سعيدة,,,full,merged,2026-04-26
21,سكيكدة,Skikda,Skikda,048 51 25 50 /048 51 25 51 /048  51 25 52 / 048 51 25 53 / 048 51 25 55,048 51 24 00,,,ولاية سعيدة,,,full,merged,2026-04-26
22,سيدي بلعباس,Sidi Bel Abbes,Sidi Bel Abbes,048 74 31 05/06/07/08/09/10/11/12 048 74 11 28,048 54 32 37,cabinet-mr-wali@wilaya-sidibelabbes.dz,www.wilaya-sidibelabbes.dz,شارع بن فريحات عبد القادر,,,full,merged,2026-04-26
23,عنابة,Annaba,Annaba,038 86 38 01 / 038 86 38 02 / 038 86 38 03 / 038 86 38 04 / 038 86 38 05,038 86 84 00,,,2شارع زيغود يوسف,,,full,merged,2026-04-26
24,قالمة,Guelma,Guelma,037 20 90 00,037 10 00 05 / 037 10 00 85,,www.wilaya-guelma.org,شارع زعايمية عز الدين,,,full,merged,2026-04-26
25,قسنطينة,Constantine,Constantine,31933272,31921604,WALICONSTANTINE@YAHOO.COM,WWW.WILAYADECONSTANTINE.ORG,ديوان الوالي قسنطينة JF KENNIDY,,,full,merged,2026-04-26
26,المدية,Medea,Medea,037 20 90 00,037 10 00 05 / 037 10 00 85,,www.wilaya-guelma.org,شارع زعايمية عز الدين,,,full,merged,2026-04-26
27,مستغانم,Mostaganem,Mostaganem,045 21 49 66,045 21 89 87,,www.wilaya-mostaganem.dz,طريق وهران,,,full,merged,2026-04-26
28,المسيلة,M'Sila,M'Sila,025 78 12 00,025 78 10 90,contact@wilayamedea.dz,www.wilayamedea.dz,مقر الولاية، شارع جيش التحرير,,,full,merged,2026-04-26
29,معسكر,Mascara,Mascara,045 72 44 88/045 72 44 66,045 72 41 50,,www.wilayademascara.org,شارع بخلوف عدة الحي الاداري,,,full,merged,2026-04-26
30,ورقلة,Ouargla,Ouargla,029 76 25 20,029 76 57  64,,www.wilaya-ouargla.com,شارع سي الحواس ورقلة,,,full,merged,2026-04-26
31,وهران,Oran,Oran,041 31 30 04/041 31 30 69,041 31 30 30,oranwilaya@gmail.com,www.wilayaoran.org,نهج العقيد أحمد ابن عبد الرزاق,,,full,merged,2026-04-26
32,البيض,El Bayadh,El Bayadh,049 61 26 26,043 61 26 24,dtn32@mail.wilaya-elbayadh.gov.dz,www.wilaya-elbayadh.gov.dz,الحي الاداري البيض 32000,,,full,merged,2026-04-26
